datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
10/1/2020 3:00,9/30/2020 23:00,MIDATL,-1.217
10/1/2020 3:00,9/30/2020 23:00,SOUTH,-2.043
10/1/2020 3:00,9/30/2020 23:00,WEST,-0.233
10/1/2020 3:00,9/30/2020 23:00,RTO,-3.493
10/1/2020 3:00,9/30/2020 23:00,RFC,-1.45
10/1/2020 3:00,9/30/2020 23:00,OTHER,0
10/1/2020 2:00,9/30/2020 22:00,MIDATL,-1.221
10/1/2020 2:00,9/30/2020 22:00,SOUTH,-2.284
10/1/2020 2:00,9/30/2020 22:00,WEST,-0.23
10/1/2020 2:00,9/30/2020 22:00,RTO,-3.735
10/1/2020 2:00,9/30/2020 22:00,RFC,-1.451
10/1/2020 2:00,9/30/2020 22:00,OTHER,0
10/1/2020 1:00,9/30/2020 21:00,MIDATL,-1.211
10/1/2020 1:00,9/30/2020 21:00,SOUTH,-2.302
10/1/2020 1:00,9/30/2020 21:00,WEST,-0.236
10/1/2020 1:00,9/30/2020 21:00,RTO,-3.749
10/1/2020 1:00,9/30/2020 21:00,RFC,-1.447
10/1/2020 1:00,9/30/2020 21:00,OTHER,0
10/1/2020 0:00,9/30/2020 20:00,MIDATL,-1.205
10/1/2020 0:00,9/30/2020 20:00,SOUTH,-2.219
10/1/2020 0:00,9/30/2020 20:00,WEST,-0.225
10/1/2020 0:00,9/30/2020 20:00,RTO,-3.649
10/1/2020 0:00,9/30/2020 20:00,RFC,-1.43
10/1/2020 0:00,9/30/2020 20:00,OTHER,0
9/30/2020 23:00,9/30/2020 19:00,MIDATL,-1.136
9/30/2020 23:00,9/30/2020 19:00,SOUTH,-2.329
9/30/2020 23:00,9/30/2020 19:00,WEST,-0.196
9/30/2020 23:00,9/30/2020 19:00,RTO,-3.661
9/30/2020 23:00,9/30/2020 19:00,RFC,-1.332
9/30/2020 23:00,9/30/2020 19:00,OTHER,0
9/30/2020 22:00,9/30/2020 18:00,MIDATL,16.996
9/30/2020 22:00,9/30/2020 18:00,SOUTH,80.19
9/30/2020 22:00,9/30/2020 18:00,WEST,7.808
9/30/2020 22:00,9/30/2020 18:00,RTO,104.994
9/30/2020 22:00,9/30/2020 18:00,RFC,24.804
9/30/2020 22:00,9/30/2020 18:00,OTHER,0
9/30/2020 21:00,9/30/2020 17:00,MIDATL,199.444
9/30/2020 21:00,9/30/2020 17:00,SOUTH,627.391
9/30/2020 21:00,9/30/2020 17:00,WEST,42.424
9/30/2020 21:00,9/30/2020 17:00,RTO,869.259
9/30/2020 21:00,9/30/2020 17:00,RFC,241.868
9/30/2020 21:00,9/30/2020 17:00,OTHER,0
9/30/2020 20:00,9/30/2020 16:00,MIDATL,436.476
9/30/2020 20:00,9/30/2020 16:00,SOUTH,1006.483
9/30/2020 20:00,9/30/2020 16:00,WEST,79.098
9/30/2020 20:00,9/30/2020 16:00,RTO,1522.057
9/30/2020 20:00,9/30/2020 16:00,RFC,515.574
9/30/2020 20:00,9/30/2020 16:00,OTHER,0
9/30/2020 19:00,9/30/2020 15:00,MIDATL,555.731
9/30/2020 19:00,9/30/2020 15:00,SOUTH,1077.021
9/30/2020 19:00,9/30/2020 15:00,WEST,91.598
9/30/2020 19:00,9/30/2020 15:00,RTO,1724.35
9/30/2020 19:00,9/30/2020 15:00,RFC,647.329
9/30/2020 19:00,9/30/2020 15:00,OTHER,0
9/30/2020 18:00,9/30/2020 14:00,MIDATL,640.943
9/30/2020 18:00,9/30/2020 14:00,SOUTH,1067.786
9/30/2020 18:00,9/30/2020 14:00,WEST,98.608
9/30/2020 18:00,9/30/2020 14:00,RTO,1807.337
9/30/2020 18:00,9/30/2020 14:00,RFC,739.551
9/30/2020 18:00,9/30/2020 14:00,OTHER,0
9/30/2020 17:00,9/30/2020 13:00,MIDATL,722.652
9/30/2020 17:00,9/30/2020 13:00,SOUTH,1052.096
9/30/2020 17:00,9/30/2020 13:00,WEST,95.894
9/30/2020 17:00,9/30/2020 13:00,RTO,1870.642
9/30/2020 17:00,9/30/2020 13:00,RFC,818.546
9/30/2020 17:00,9/30/2020 13:00,OTHER,0
9/30/2020 16:00,9/30/2020 12:00,MIDATL,704.082
9/30/2020 16:00,9/30/2020 12:00,SOUTH,1035.617
9/30/2020 16:00,9/30/2020 12:00,WEST,86.656
