datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
10/1/2020 3:00,9/30/2020 23:00,MIDATL,592.332
10/1/2020 3:00,9/30/2020 23:00,SOUTH,97.403
10/1/2020 3:00,9/30/2020 23:00,WEST,3831.633
10/1/2020 3:00,9/30/2020 23:00,RTO,4521.368
10/1/2020 3:00,9/30/2020 23:00,RFC,4423.965
10/1/2020 2:00,9/30/2020 22:00,MIDATL,597.8
10/1/2020 2:00,9/30/2020 22:00,SOUTH,95.961
10/1/2020 2:00,9/30/2020 22:00,WEST,3404.984
10/1/2020 2:00,9/30/2020 22:00,RTO,4098.745
10/1/2020 2:00,9/30/2020 22:00,RFC,4002.784
10/1/2020 1:00,9/30/2020 21:00,MIDATL,622.781
10/1/2020 1:00,9/30/2020 21:00,SOUTH,58.685
10/1/2020 1:00,9/30/2020 21:00,WEST,3293.616
10/1/2020 1:00,9/30/2020 21:00,RTO,3975.082
10/1/2020 1:00,9/30/2020 21:00,RFC,3916.397
10/1/2020 0:00,9/30/2020 20:00,MIDATL,588.017
10/1/2020 0:00,9/30/2020 20:00,SOUTH,32.316
10/1/2020 0:00,9/30/2020 20:00,WEST,2967.268
10/1/2020 0:00,9/30/2020 20:00,RTO,3587.601
10/1/2020 0:00,9/30/2020 20:00,RFC,3555.285
9/30/2020 23:00,9/30/2020 19:00,MIDATL,463.278
9/30/2020 23:00,9/30/2020 19:00,SOUTH,31.511
9/30/2020 23:00,9/30/2020 19:00,WEST,3672.753
9/30/2020 23:00,9/30/2020 19:00,RTO,4167.542
9/30/2020 23:00,9/30/2020 19:00,RFC,4136.031
9/30/2020 22:00,9/30/2020 18:00,MIDATL,443.706
9/30/2020 22:00,9/30/2020 18:00,SOUTH,55.704
9/30/2020 22:00,9/30/2020 18:00,WEST,5500.705
9/30/2020 22:00,9/30/2020 18:00,RTO,6000.115
9/30/2020 22:00,9/30/2020 18:00,RFC,5944.411
9/30/2020 21:00,9/30/2020 17:00,MIDATL,515.933
9/30/2020 21:00,9/30/2020 17:00,SOUTH,86.118
9/30/2020 21:00,9/30/2020 17:00,WEST,6414.396
9/30/2020 21:00,9/30/2020 17:00,RTO,7016.447
9/30/2020 21:00,9/30/2020 17:00,RFC,6930.329
9/30/2020 20:00,9/30/2020 16:00,MIDATL,563.563
9/30/2020 20:00,9/30/2020 16:00,SOUTH,67.411
9/30/2020 20:00,9/30/2020 16:00,WEST,5995.395
9/30/2020 20:00,9/30/2020 16:00,RTO,6626.369
9/30/2020 20:00,9/30/2020 16:00,RFC,6558.958
9/30/2020 19:00,9/30/2020 15:00,MIDATL,570.647
9/30/2020 19:00,9/30/2020 15:00,SOUTH,25.693
9/30/2020 19:00,9/30/2020 15:00,WEST,5497.579
9/30/2020 19:00,9/30/2020 15:00,RTO,6093.919
9/30/2020 19:00,9/30/2020 15:00,RFC,6068.226
9/30/2020 18:00,9/30/2020 14:00,MIDATL,631.082
9/30/2020 18:00,9/30/2020 14:00,SOUTH,63.058
9/30/2020 18:00,9/30/2020 14:00,WEST,5237.235
9/30/2020 18:00,9/30/2020 14:00,RTO,5931.375
9/30/2020 18:00,9/30/2020 14:00,RFC,5868.317
9/30/2020 17:00,9/30/2020 13:00,MIDATL,661.571
